date,city_id,commodity_code,price_per_kg
2021-01-04,3509,daging_ayam,31350
2021-01-05,3509,daging_ayam,30650
2021-01-06,3509,daging_ayam,30500
2021-01-07,3509,daging_ayam,30350
2021-01-08,3509,daging_ayam,30350
2021-01-11,3509,daging_ayam,30650
2021-01-12,3509,daging_ayam,30350
2021-01-13,3509,daging_ayam,30850
2021-01-14,3509,daging_ayam,30850
2021-01-15,3509,daging_ayam,30850
2021-01-18,3509,daging_ayam,30650
2021-01-19,3509,daging_ayam,30650
2021-01-20,3509,daging_ayam,30650
2021-01-21,3509,daging_ayam,30650
2021-01-22,3509,daging_ayam,30650
2021-01-25,3509,daging_ayam,31350
2021-01-26,3509,daging_ayam,31150
2021-01-27,3509,daging_ayam,31150
2021-01-28,3509,daging_ayam,31000
2021-01-29,3509,daging_ayam,30650
2021-02-01,3509,daging_ayam,30650
2021-02-02,3509,daging_ayam,28350
2021-02-03,3509,daging_ayam,28150
2021-02-04,3509,daging_ayam,29000
2021-02-05,3509,daging_ayam,29150
2021-02-08,3509,daging_ayam,30650
2021-02-09,3509,daging_ayam,31350
2021-02-10,3509,daging_ayam,31650
2021-02-11,3509,daging_ayam,31500
2021-02-15,3509,daging_ayam,29850
2021-02-16,3509,daging_ayam,29350
2021-02-17,3509,daging_ayam,29350
2021-02-18,3509,daging_ayam,28500
2021-02-19,3509,daging_ayam,28350
2021-02-22,3509,daging_ayam,27500
2021-02-23,3509,daging_ayam,27850
2021-02-24,3509,daging_ayam,28000
2021-02-25,3509,daging_ayam,28000
2021-02-26,3509,daging_ayam,28150
2021-03-01,3509,daging_ayam,28350
2021-03-02,3509,daging_ayam,29650
2021-03-03,3509,daging_ayam,30000
2021-03-04,3509,daging_ayam,30000
2021-03-05,3509,daging_ayam,30650
2021-03-08,3509,daging_ayam,30650
2021-03-09,3509,daging_ayam,30500
2021-03-10,3509,daging_ayam,30650
2021-03-12,3509,daging_ayam,30500
2021-03-15,3509,daging_ayam,30650
2021-03-16,3509,daging_ayam,31650
2021-03-17,3509,daging_ayam,31500
2021-03-18,3509,daging_ayam,31500
2021-03-19,3509,daging_ayam,31500
2021-03-22,3509,daging_ayam,29850
2021-03-23,3509,daging_ayam,30000
2021-03-24,3509,daging_ayam,30500
2021-03-25,3509,daging_ayam,30850
2021-03-26,3509,daging_ayam,31500
2021-03-29,3509,daging_ayam,32000
2021-03-30,3509,daging_ayam,32350
2021-03-31,3509,daging_ayam,32500
2021-04-01,3509,daging_ayam,33650
2021-04-05,3509,daging_ayam,34350
2021-04-06,3509,daging_ayam,35650
2021-04-07,3509,daging_ayam,36350
2021-04-08,3509,daging_ayam,38000
2021-04-09,3509,daging_ayam,38650
2021-04-12,3509,daging_ayam,40650
2021-04-13,3509,daging_ayam,40650
2021-04-14,3509,daging_ayam,38650
2021-04-15,3509,daging_ayam,36650
2021-04-16,3509,daging_ayam,35850
2021-04-19,3509,daging_ayam,34650
2021-04-20,3509,daging_ayam,34000
2021-04-21,3509,daging_ayam,34150
2021-04-22,3509,daging_ayam,34150
2021-04-23,3509,daging_ayam,33850
2021-04-26,3509,daging_ayam,31850
2021-04-27,3509,daging_ayam,30650
2021-04-28,3509,daging_ayam,30850
2021-04-29,3509,daging_ayam,31650
2021-04-30,3509,daging_ayam,32650
2021-05-03,3509,daging_ayam,33500
2021-05-04,3509,daging_ayam,34000
2021-05-05,3509,daging_ayam,34150
2021-05-06,3509,daging_ayam,34150
2021-05-07,3509,daging_ayam,34150
2021-05-10,3509,daging_ayam,34500
2021-05-11,3509,daging_ayam,34500
2021-05-17,3509,daging_ayam,35850
2021-05-18,3509,daging_ayam,35850
2021-05-19,3509,daging_ayam,35850
2021-05-20,3509,daging_ayam,34000
2021-05-21,3509,daging_ayam,33850
2021-05-24,3509,daging_ayam,32000
2021-05-25,3509,daging_ayam,31000
2021-05-27,3509,daging_ayam,30650
2021-05-28,3509,daging_ayam,30500
2021-05-31,3509,daging_ayam,29000
2021-06-02,3509,daging_ayam,28650
2021-06-03,3509,daging_ayam,28500
2021-06-04,3509,daging_ayam,28150
2021-06-07,3509,daging_ayam,28500
2021-06-08,3509,daging_ayam,28850
2021-06-09,3509,daging_ayam,29150
2021-06-10,3509,daging_ayam,29500
2021-06-11,3509,daging_ayam,29650
2021-06-14,3509,daging_ayam,31000
2021-06-15,3509,daging_ayam,31150
2021-06-16,3509,daging_ayam,31150
2021-06-17,3509,daging_ayam,31150
2021-06-18,3509,daging_ayam,30500
2021-06-21,3509,daging_ayam,29850
2021-06-22,3509,daging_ayam,30350
2021-06-23,3509,daging_ayam,31000
2021-06-24,3509,daging_ayam,31000
2021-06-25,3509,daging_ayam,31000
2021-06-28,3509,daging_ayam,29850
2021-06-29,3509,daging_ayam,28650
2021-06-30,3509,daging_ayam,27650
2021-07-01,3509,daging_ayam,26000
2021-07-02,3509,daging_ayam,25650
2021-07-05,3509,daging_ayam,25150
2021-07-06,3509,daging_ayam,25500
2021-07-07,3509,daging_ayam,26150
2021-07-08,3509,daging_ayam,26850
2021-07-09,3509,daging_ayam,26350
2021-07-12,3509,daging_ayam,24350
2021-07-13,3509,daging_ayam,22000
2021-07-14,3509,daging_ayam,21500
2021-07-15,3509,daging_ayam,21650
2021-07-16,3509,daging_ayam,22150
2021-07-19,3509,daging_ayam,27500
2021-07-21,3509,daging_ayam,28350
2021-07-22,3509,daging_ayam,27350
2021-07-23,3509,daging_ayam,24500
2021-07-26,3509,daging_ayam,19650
2021-07-27,3509,daging_ayam,19350
2021-07-28,3509,daging_ayam,19350
2021-07-29,3509,daging_ayam,20850
2021-07-30,3509,daging_ayam,21000
2021-08-02,3509,daging_ayam,27000
2021-08-03,3509,daging_ayam,28500
2021-08-04,3509,daging_ayam,30150
2021-08-05,3509,daging_ayam,30650
2021-08-06,3509,daging_ayam,30350
2021-08-09,3509,daging_ayam,26850
2021-08-10,3509,daging_ayam,27850
2021-08-12,3509,daging_ayam,31000
2021-08-13,3509,daging_ayam,30650
2021-08-16,3509,daging_ayam,28650
2021-08-18,3509,daging_ayam,26000
2021-08-19,3509,daging_ayam,26350
2021-08-20,3509,daging_ayam,26150
2021-08-23,3509,daging_ayam,25150
2021-08-24,3509,daging_ayam,25350
2021-08-25,3509,daging_ayam,25650
2021-08-26,3509,daging_ayam,27850
2021-08-27,3509,daging_ayam,29000
2021-08-30,3509,daging_ayam,30000
2021-08-31,3509,daging_ayam,30500
2021-09-01,3509,daging_ayam,30350
2021-09-02,3509,daging_ayam,31000
2021-09-03,3509,daging_ayam,31650
2021-09-06,3509,daging_ayam,31500
2021-09-07,3509,daging_ayam,31500
2021-09-08,3509,daging_ayam,31350
2021-09-09,3509,daging_ayam,30500
2021-09-10,3509,daging_ayam,30000
2021-09-13,3509,daging_ayam,30500
2021-09-14,3509,daging_ayam,30500
2021-09-15,3509,daging_ayam,30150
2021-09-16,3509,daging_ayam,29350
2021-09-17,3509,daging_ayam,29150
2021-09-20,3509,daging_ayam,29650
2021-09-21,3509,daging_ayam,29850
2021-09-22,3509,daging_ayam,30350
2021-09-23,3509,daging_ayam,30650
2021-09-24,3509,daging_ayam,30850
2021-09-27,3509,daging_ayam,30000
2021-09-28,3509,daging_ayam,29650
2021-09-29,3509,daging_ayam,29650
2021-09-30,3509,daging_ayam,29500
2021-10-01,3509,daging_ayam,28650
2021-10-04,3509,daging_ayam,29150
2021-10-05,3509,daging_ayam,29650
2021-10-06,3509,daging_ayam,30500
2021-10-07,3509,daging_ayam,32000
2021-10-08,3509,daging_ayam,32150
2021-10-11,3509,daging_ayam,32350
2021-10-12,3509,daging_ayam,32000
2021-10-13,3509,daging_ayam,31500
2021-10-14,3509,daging_ayam,31350
2021-10-15,3509,daging_ayam,31000
2021-10-18,3509,daging_ayam,33500
2021-10-19,3509,daging_ayam,31850
2021-10-21,3509,daging_ayam,31650
2021-10-22,3509,daging_ayam,31650
2021-10-25,3509,daging_ayam,31650
2021-10-26,3509,daging_ayam,31650
2021-10-27,3509,daging_ayam,32000
2021-10-28,3509,daging_ayam,32150
2021-10-29,3509,daging_ayam,31350
2021-11-01,3509,daging_ayam,30350
2021-11-02,3509,daging_ayam,30000
2021-11-03,3509,daging_ayam,31850
2021-11-04,3509,daging_ayam,32000
2021-11-05,3509,daging_ayam,32000
2021-11-08,3509,daging_ayam,31850
2021-11-09,3509,daging_ayam,31850
2021-11-10,3509,daging_ayam,31850
2021-11-11,3509,daging_ayam,31000
2021-11-12,3509,daging_ayam,31000
2021-11-15,3509,daging_ayam,30650
2021-11-16,3509,daging_ayam,30650
2021-11-17,3509,daging_ayam,30650
2021-11-18,3509,daging_ayam,30650
2021-11-19,3509,daging_ayam,30650
2021-11-22,3509,daging_ayam,30650
2021-11-23,3509,daging_ayam,30350
2021-11-24,3509,daging_ayam,30850
2021-11-25,3509,daging_ayam,30850
2021-11-26,3509,daging_ayam,31000
2021-11-29,3509,daging_ayam,30850
2021-11-30,3509,daging_ayam,30850
2021-12-01,3509,daging_ayam,30850
2021-12-02,3509,daging_ayam,30500
2021-12-03,3509,daging_ayam,30650
2021-12-06,3509,daging_ayam,31000
2021-12-07,3509,daging_ayam,31000
2021-12-08,3509,daging_ayam,31850
2021-12-09,3509,daging_ayam,31850
2021-12-10,3509,daging_ayam,31850
2021-12-13,3509,daging_ayam,32500
2021-12-14,3509,daging_ayam,32350
2021-12-15,3509,daging_ayam,32500
2021-12-16,3509,daging_ayam,32650
2021-12-17,3509,daging_ayam,32650
2021-12-20,3509,daging_ayam,32500
2021-12-21,3509,daging_ayam,33150
2021-12-22,3509,daging_ayam,33500
2021-12-23,3509,daging_ayam,33500
2021-12-24,3509,daging_ayam,33500
2021-12-27,3509,daging_ayam,34350
2021-12-28,3509,daging_ayam,34350
2021-12-29,3509,daging_ayam,34350
2021-12-30,3509,daging_ayam,34350
2021-12-31,3509,daging_ayam,34650
2022-01-03,3509,daging_ayam,34850
2022-01-04,3509,daging_ayam,34650
