kabupaten/kota,avg_konsumsi_perkapita_kg,tahun
Kota Batu,1.11,2024
Kabupaten Pacitan,1.494,2025
Kabupaten Ponorogo,1.385,2025
Kabupaten Trenggalek,1.42,2025
Kabupaten Tulungagung,1.414,2025
Kabupaten Blitar,1.297,2025
Kabupaten Kediri,1.39,2025
Kabupaten Malang,1.291,2025
Kabupaten Lumajang,1.65,2025
Kabupaten Jember,1.555,2025
Kabupaten Banyuwangi,1.545,2025
Kabupaten Bondowoso,1.577,2025
Kabupaten Situbondo,1.561,2025
Kabupaten Probolinggo,1.629,2025
Kabupaten Pasuruan,1.558,2025
Kabupaten Sidoarjo,1.245,2025
Kabupaten Mojokerto,1.422,2025
Kabupaten Jombang,1.396,2025
Kabupaten Nganjuk,1.453,2025
Kabupaten Madiun,1.397,2025
Kabupaten Magetan,1.367,2025
Kabupaten Ngawi,1.725,2025
Kabupaten Bojonegoro,1.618,2025
Kabupaten Tuban,1.589,2025
Kabupaten Lamongan,1.515,2025
Kabupaten Gresik,1.304,2025
Kabupaten Bangkalan,1.98,2025
Kabupaten Sampang,1.943,2025
Kabupaten Pamekasan,1.471,2025
Kabupaten Sumenep,1.563,2025
Kota Kediri,1.202,2025
Kota Blitar,1.195,2025
Kota Malang,1.357,2025
Kota Probolinggo,1.512,2025
Kota Pasuruan,1.244,2025
Kota Mojokerto,1.156,2025
Kota Madiun,1.134,2025
Kota Surabaya,1.413,2025
Kota Batu,1.231,2025
