tahun,kabupaten,produksi
2024,Kabupaten Tuban,302029.69
2024,Kabupaten Tulungagung,124041.83
2024,Kota Batu,2113.03
2024,Kota Blitar,2149.26
2024,Kota Kediri,4846.25
2024,Kota Madiun,7281.5
2024,Kota Malang,6060.97
2024,Kota Mojokerto,1991.89
2024,Kota Pasuruan,5003.52
2024,Kota Probolinggo,4904.69
2024,Kota Surabaya,4238.5
2025,Kabupaten Bangkalan,129220.18
2025,Kabupaten Banyuwangi,261938.65
2025,Kabupaten Blitar,133636.42
2025,Kabupaten Bojonegoro,507947.93
2025,Kabupaten Bondowoso,160997.58
2025,Kabupaten Gresik,216873.79
2025,Kabupaten Jember,392364.81
2025,Kabupaten Jombang,255012.37
2025,Kabupaten Kediri,114516.46
2025,Kabupaten Lamongan,508126.15
2025,Kabupaten Lumajang,161621.18
2025,Kabupaten Madiun,277313.9
2025,Kabupaten Magetan,176692.93
2025,Kabupaten Malang,142258.93
2025,Kabupaten Mojokerto,180391.31
2025,Kabupaten Nganjuk,251307.22
2025,Kabupaten Ngawi,446097.92
2025,Kabupaten Pacitan,76517.4
2025,Kabupaten Pamekasan,75855.26999999999
2025,Kabupaten Pasuruan,158377.88
2025,Kabupaten Ponorogo,251928.35
2025,Kabupaten Probolinggo,113241.05
2025,Kabupaten Sampang,109653.91
2025,Kabupaten Sidoarjo,101439.41
2025,Kabupaten Situbondo,115002.01
2025,Kabupaten Sumenep,139436.69
2025,Kabupaten Trenggalek,183339.15
2025,Kabupaten Tuban,333727.93
2025,Kabupaten Tulungagung,138907.43
2025,Kota Batu,1746.67
2025,Kota Blitar,3503.75
2025,Kota Kediri,2141.42
2025,Kota Madiun,6864.79
2025,Kota Malang,4759.62
2025,Kota Mojokerto,1781.6999999999998
2025,Kota Pasuruan,4311.95
2025,Kota Probolinggo,5827.34
2025,Kota Surabaya,3507.73
