kabupaten/kota,populasi,tahun
Kabupaten Gresik,1364000.0,2024
Kabupaten Lamongan,1378200.0,2024
Kabupaten Tuban,1225200.0,2024
Kota Batu,222700.0,2024
Kota Surabaya,2922000.0,2024
Kota Madiun,201800.0,2024
Kota Mojokerto,137400.0,2024
Kota Pasuruan,219400.0,2024
Kota Probolinggo,249500.0,2024
Kota Malang,872700.0,2024
Kota Blitar,154900.0,2024
Kabupaten Bojonegoro,1325300.0,2024
Kabupaten Ngawi,884100.0,2024
Kabupaten Kediri,1702262000.0,2025
Kabupaten Blitar,1273451000.0,2025
Kabupaten Tulungagung,1119588000.0,2025
Kabupaten Trenggalek,747614000.0,2025
Kabupaten Ponorogo,966111000.0,2025
Kabupaten Pacitan,589034000.0,2025
Kabupaten Lumajang,1152264000.0,2025
Kabupaten Malang,2755438000.0,2025
Kabupaten Pasuruan,1669400000.0,2025
Kabupaten Probolinggo,1193272000.0,2025
Kabupaten Situbondo,704243000.0,2025
Kabupaten Bondowoso,796300000.0,2025
Kabupaten Banyuwangi,1764540000.0,2025
Kabupaten Jember,2620135000.0,2025
Kota Surabaya,2931611000.0,2025
Kota Batu,225120000.0,2025
Kota Blitar,156330000.0,2025
Kota Malang,879873000.0,2025
Kota Probolinggo,252085000.0,2025
Kota Pasuruan,222334000.0,2025
Kota Mojokerto,138613000.0,2025
Kota Madiun,203552000.0,2025
Kabupaten Sumenep,1159397000.0,2025
Kota Kediri,301202000.0,2025
Kabupaten Bojonegoro,1330516000.0,2025
Kabupaten Ngawi,887172000.0,2025
Kabupaten Magetan,689209000.0,2025
Kabupaten Madiun,760948000.0,2025
Kabupaten Nganjuk,1138604000.0,2025
Kabupaten Jombang,1373793000.0,2025
Kabupaten Mojokerto,1162696000.0,2025
Kabupaten Sidoarjo,2193692000.0,2025
Kabupaten Tuban,1231374000.0,2025
Kabupaten Lamongan,1386390000.0,2025
Kabupaten Gresik,1377287000.0,2025
Kabupaten Bangkalan,1112956000.0,2025
Kabupaten Sampang,1027538000.0,2025
Kabupaten Pamekasan,893327000.0,2025
